pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount
40.73,-73.99,40.75,-73.98,14.5
40.75,-73.98,40.75,-73.99,5
40.75,-73.93,40.76,-73.97,9.5
40.64,-73.78,40.66,-73.98,39
40.78,-73.96,40.75,-73.99,21.5
40.76,-74,40.76,-73.99,3.5
40.76,-73.98,40.77,-73.98,8.5
40.74,-74,40.73,-73.99,3.5
40.77,-73.95,40.77,-73.98,10.5
40.8,-73.96,40.75,-74,17
40.8,-73.96,40.8,-73.96,5.5
40.72,-74,40.76,-73.87,27
40.72,-74,40.73,-73.99,8
40.8,-73.96,40.82,-73.95,9
40.74,-73.98,40.74,-74,15
40.76,-73.97,40.75,-73.88,22.5
40.76,-73.98,40.75,-73.97,7
40.73,-74,40.7,-74.02,11
40.76,-74,40.8,-73.94,17.5
40.77,-73.96,40.77,-73.96,3
40.83,-73.94,40.84,-73.94,4.5
40.76,-73.97,40.7,-73.9,32.5
40.77,-73.86,40.77,-73.88,6
40.77,-73.98,40.85,-73.94,19.5
40.66,-73.79,40.65,-73.89,36.5
0,0,0,0,12
40.73,-74,40.73,-73.98,6.5
40.74,-74.01,40.73,-73.99,7
40.76,-74,40.75,-73.99,7.5
40.76,-73.97,40.76,-73.97,3.5
0,0,0,0,15
40.78,-73.97,40.73,-73.99,19
40.76,-73.96,40.76,-73.97,6.5
40.76,-73.98,40.67,-73.96,33
40.73,-74,40.73,-74,5
40.73,-73.98,40.77,-73.96,12.5
40.77,-73.96,40.82,-73.89,18.5
40.76,-73.99,40.75,-74,16
40.74,-74,40.75,-74,6
40.76,-73.98,40.75,-73.98,7
40.72,-74,40.73,-74,6.5
40.72,-73.99,40.73,-74,8.5
40.75,-73.98,40.75,-73.98,4
40.76,-73.99,40.75,-73.98,12.5
40.74,-73.92,40.75,-73.9,7
40.74,-74,40.71,-74.02,9
40.75,-73.99,40.82,-73.95,18
40.72,-73.99,40.73,-74,6.5
40.73,-73.98,40.81,-73.93,21.5
40.76,-73.97,40.8,-73.96,13
40.78,-73.95,40.78,-73.96,4
40.74,-74.01,40.73,-74,6.5
40.8,-73.97,40.8,-73.97,3.5
40.74,-74,40.71,-74.01,10.5
40.77,-73.98,40.72,-73.98,17
40.72,-74,40.75,-73.88,38
40.74,-74,40.75,-73.99,7.5
40.75,-73.99,40.75,-73.97,8.5
0,0,40.73,-74.01,7.5
40.79,-73.97,40.8,-73.96,4
40.79,-73.95,40.77,-73.98,13
40.77,-73.98,40.77,-73.98,3
40.74,-74,40.74,-74,3
40.65,-73.78,40.72,-73.84,22.5
40.74,-74,40.75,-73.98,12
40.76,-73.98,40.71,-74.02,24
40.76,-73.96,40.77,-73.95,5
40.76,-73.97,40.75,-73.87,20.5
40.77,-73.98,40.77,-73.99,4
40.78,-73.98,40.79,-73.95,11
40.74,-73.99,40.73,-73.98,10.5
40.74,-73.99,40.75,-73.99,5
40.77,-73.99,40.77,-73.98,5
40.76,-73.99,40.77,-73.99,4.5
40.76,-73.98,40.75,-73.95,10
40.65,-73.79,40.58,-73.96,40.5
40.71,-73.99,40.71,-73.99,4.5
40.77,-73.98,40.77,-73.99,5.5
40.78,-73.96,40.77,-73.95,6
40.73,-73.99,40.73,-74,6
40.73,-73.99,40.75,-73.98,8
40.77,-74,40.76,-73.97,11
40.77,-73.98,40.76,-74,14.5
40.76,-73.97,40.75,-73.97,4
40.74,-74,40.76,-73.97,18.5
40.76,-73.98,40.76,-73.97,5.5
40.73,-73.98,40.72,-74,6.5
40.71,-73.94,40.7,-73.93,9
40.72,-73.99,40.72,-73.98,6
40.77,-73.94,40.77,-73.94,4.5
40.72,-74,40.71,-74.01,6
40.77,-73.96,40.73,-74,14
40.75,-73.89,40.74,-73.9,6.5
40.76,-73.98,40.77,-73.96,6.5
40.74,-74,40.72,-73.99,22
40.73,-74,40.73,-73.99,5
40.73,-73.99,40.71,-74.01,9
40.73,-73.99,40.73,-73.98,10
40.77,-73.98,40.75,-73.95,15
40.74,-73.98,40.75,-73.98,5.5
40.82,-73.95,40.87,-73.92,15.5
40.74,-74,40.73,-73.98,9
40.74,-74.01,40.78,-73.95,20
40.76,-73.98,40.72,-73.99,18
40.75,-73.99,40.69,-74,23.5
40.76,-73.98,40.74,-73.98,17
40.76,-73.96,40.71,-73.82,30.5
40.74,-73.99,40.75,-74,7
40.74,-74,40.75,-73.99,6.5
40.75,-74,40.75,-74,4.5
40.73,-74,40.74,-74,7
40.75,-74,40.72,-74,12.5
40.76,-74,40.76,-74,3
40.73,-73.99,40.73,-73.99,3.5
0,0,0,0,11.5
40.73,-74,40.73,-74,5.5
40.78,-73.96,40.78,-73.98,9
40.77,-73.98,40.79,-73.97,10.5
40.76,-73.98,40.76,-73.99,9
40.74,-73.98,40.75,-73.98,3.5
40.75,-73.97,40.7,-74.01,14
40.76,-73.97,40.77,-73.93,11
40.78,-73.98,40.86,-73.93,19.5
40.74,-73.98,40.77,-73.98,13
40.77,-73.96,40.73,-73.99,12.5
40.65,-73.78,40.76,-73.96,52
40.76,-73.97,40.76,-73.97,5.5
40.76,-73.98,40.75,-73.94,11
40.76,-73.98,40.76,-73.97,6
40.76,-73.98,40.73,-73.99,11
40.78,-73.98,40.73,-73.99,16.5
40.73,-73.99,40.75,-73.99,10.5
40.72,-74,40.73,-73.88,23
40.76,-74,40.76,-73.95,23
40.73,-73.99,40.68,-73.95,21.5
40.75,-73.98,40.76,-73.97,7.5
40.87,-73.87,40.85,-73.89,9
40.75,-74,40.78,-73.99,10
40.73,-73.99,40.73,-73.99,4.5
40.73,-73.99,40.75,-73.97,8.5
40.73,-73.99,40.75,-73.99,12
40.75,-73.93,40.76,-73.98,15.5
40.75,-73.86,40.75,-73.86,4
40.71,-74,40.7,-73.99,6.5
40.76,-73.97,40.79,-73.95,9
40.76,-73.98,40.76,-73.98,3
40.74,-73.98,40.76,-73.97,10.5
40.75,-73.98,40.86,-73.93,29.5
40.73,-74.01,40.73,-73.98,12
40.75,-74,40.69,-73.97,17.5
40.77,-74,40.76,-73.99,15.5
40.73,-74,40.75,-73.98,20
40.73,-73.98,40.72,-73.99,4.5
40.77,-73.96,40.8,-73.94,10
40.77,-73.96,40.82,-73.95,16.5
40.77,-73.98,40.75,-73.99,15.5
40.73,-74,40.72,-73.98,9
40.77,-73.99,40.76,-74,5.5
40.76,-73.96,40.75,-73.9,18
0,0,0,0,5
0,0,0,0,11.5
40.76,-73.99,40.71,-74.01,13.5
40.74,-73.98,40.82,-73.94,22.5
40.74,-73.98,40.74,-73.99,5
40.72,-74,40.74,-74,10.5
40.78,-73.96,40.78,-73.95,5.5
40.72,-73.94,40.7,-73.97,11.5
40.76,-74,40.74,-74,8
40.75,-73.99,40.77,-73.99,8.5
40.74,-74.01,40.74,-74.01,6
40.76,-73.96,40.75,-73.89,16.5
40.74,-74.01,40.73,-74,4.5
40.72,-73.99,40.68,-73.91,18.5
40.72,-73.96,40.72,-73.96,2.5
40.77,-73.99,40.76,-74,5.5
40.74,-74.01,40.73,-73.98,10
40.76,-73.97,40.76,-73.95,13.5
40.75,-73.99,40.76,-73.99,10
40.75,-73.99,40.71,-74.01,18.5
40.75,-73.98,40.74,-74.01,17.5
0,0,0,0,6
40.75,-73.99,40.77,-73.99,8
40.76,-73.98,40.76,-73.99,12
40.81,-73.93,40.8,-73.94,6
40.76,-73.97,40.69,-74,24.5
40.77,-73.95,40.78,-73.95,4.5
40.75,-73.98,40.73,-73.88,28
40.72,-73.99,40.72,-73.99,4.5
40.76,-73.99,40.76,-73.99,9
40.77,-73.98,40.78,-73.91,23.5
40.8,-73.95,40.83,-73.86,21.5
0,0,40.83,-73.95,17.5
40.77,-74,40.74,-73.99,12.5
40.72,-73.98,40.69,-73.97,16.5
40.76,-74,40.75,-73.99,7
40.77,-73.98,40.78,-73.98,6
40.71,-74.01,40.74,-74,8
40.77,-73.95,40.78,-73.95,3.5
40.78,-73.96,40.76,-73.97,7
40.76,-73.97,40.8,-73.94,12
40.74,-73.99,40.79,-73.97,20.5
40.72,-73.99,40.66,-73.96,20
40.73,-73.99,40.75,-73.99,8.5
40.75,-73.94,40.8,-73.97,19
40.74,-73.99,40.75,-73.99,9
40.72,-74,40.71,-74.01,5.5
40.78,-73.95,40.74,-73.9,20.5
40.75,-73.98,40.75,-73.99,5
40.76,-73.99,40.75,-73.99,17
40.76,-73.99,40.76,-73.99,5
40.76,-73.99,40.75,-73.98,20
40.79,-73.97,40.8,-73.94,10.5
40.75,-73.98,40.78,-73.98,15.5
40.76,-73.96,40.77,-73.95,6
40.78,-73.98,40.78,-73.95,11
40.76,-73.97,40.77,-73.98,9
0,0,0,0,11
40.75,-73.99,40.81,-73.93,21
40.78,-73.95,40.8,-73.94,6
40.77,-73.95,40.77,-73.96,4.5
40.77,-73.98,40.81,-73.93,18
40.77,-73.98,40.76,-73.97,9
40.76,-73.99,40.7,-74.01,16.5
40.78,-73.99,40.77,-73.99,5
40.64,-73.78,40.7,-73.77,20.5
40.74,-73.98,40.68,-74,20
40.76,-73.98,40.75,-73.99,16.5
40.79,-73.98,40.75,-73.99,22
40.75,-73.99,40.83,-73.94,27.5
40.76,-73.97,40.76,-73.97,5
40.77,-73.95,40.76,-73.97,7.5
40.84,-73.94,40.76,-73.99,20
40.8,-73.94,40.83,-73.94,15
40.75,-73.99,40.74,-73.99,4.5
40.8,-73.95,40.83,-73.94,8.5
40.75,-73.99,40.77,-73.92,19.5
40.72,-73.99,40.76,-73.99,20
40.74,-73.98,40.75,-73.86,29.5
40.65,-73.78,40.8,-73.97,2.5
40.75,-74,40.74,-74,3.5
40.76,-73.97,40.77,-73.96,6.5
40.78,-73.95,40.74,-73.98,12.5
40.81,-73.94,40.82,-73.94,4.5
40.77,-73.97,40.77,-73.95,6.5
40.76,-73.97,40.79,-73.97,10.5
40.7,-74.01,40.74,-73.91,27
40.73,-74,40.73,-73.98,7
40.77,-73.99,40.77,-73.99,24.5
40.76,-73.96,40.79,-73.94,8
40.74,-74,40.74,-73.98,10
40.77,-73.96,40.77,-73.95,3
40.73,-74,40.73,-73.99,4.5
40.73,-73.98,40.71,-74,9.5
40.7,-73.94,40.72,-73.98,13
40.76,-73.97,40.77,-73.91,13
40.75,-73.98,40.75,-73.98,2.5
40.69,-73.98,40.69,-74,5
40.78,-73.97,40.77,-73.99,6
40.78,-73.92,40.73,-73.95,14.5
40.74,-73.99,40.75,-73.99,9
40.78,-73.97,40.8,-73.97,5.5
40.79,-73.97,40.73,-73.99,20.5
40.72,-73.99,40.74,-74,9.5
40.76,-73.92,40.77,-73.91,6.5
40.75,-74,40.74,-74.01,6.5
40.73,-74,40.72,-73.98,9
40.73,-73.99,40.76,-73.92,25.5
40.75,-74,40.74,-73.99,6
40.74,-74,40.74,-73.98,7.5
40.73,-74,40.75,-73.98,10.5
40.75,-74,40.69,-73.95,23
40.75,-73.98,40.75,-73.99,4
40.75,-73.99,40.75,-73.99,4
40.75,-73.99,40.76,-73.97,8
40.88,-73.9,40.88,-73.92,6
40.72,-73.99,40.71,-74.01,6.5
40.76,-73.98,40.77,-73.96,7
0,0,0,0,9
40.73,-73.99,40.78,-73.98,18.5
40.73,-73.99,40.76,-73.99,17.5
40.76,-73.99,40.77,-73.88,57
40.77,-73.98,40.76,-73.96,8
40.71,-74,40.75,-73.98,15
40.72,-73.99,40.69,-73.99,11
40.64,-73.78,40.7,-73.83,16.5
40.72,-73.99,40.74,-73.98,8
40.75,-73.99,40.72,-74.01,19.5
40.73,-73.99,40.74,-74.01,7
40.78,-73.95,40.76,-73.97,8.5
40.76,-73.99,40.77,-73.98,9.5
40.77,-73.96,40.78,-73.96,4
40.75,-73.98,40.77,-73.96,8
40.77,-73.87,40.77,-73.92,10.5
40.77,-73.99,40.74,-73.99,14.5
40.77,-73.98,40.76,-73.97,8.5
40.74,-74.01,40.75,-73.99,8.5
40.64,-73.78,40.59,-74.17,76
40.73,-73.99,40.71,-74.01,11
40.72,-73.99,40.71,-73.99,5
40.73,-74.01,40.73,-74,8
40.76,-73.99,40.74,-74,18.5
40.79,-73.96,40.8,-73.97,5
40.79,-73.98,40.78,-73.96,6.5
40.76,-74,40.74,-74.01,7
40.77,-73.98,40.76,-73.97,8.5
40.71,-74.01,40.77,-73.98,18
40.76,-73.96,40.76,-73.93,10.5
40.74,-73.99,40.68,-73.97,17.5
40.8,-73.96,40.78,-73.97,5.5
40.74,-73.99,40.75,-73.98,8.5
40.76,-73.97,40.72,-74.01,27
40.73,-74,40.74,-74,4.5
40.76,-73.98,40.77,-73.98,5.5
40.77,-73.91,40.76,-73.91,6
40.76,-73.98,40.75,-73.98,7
40.71,-74.01,40.86,-73.97,42
40.8,-73.97,40.81,-73.97,4.5
40.72,-74,40.71,-73.99,7
40.77,-73.98,40.76,-73.97,8.5
40.77,-73.96,40.77,-73.97,7
40.76,-73.98,40.71,-74.01,19.5
40.76,-73.98,40.71,-74,18.5
40.78,-73.97,40.76,-73.96,8
40.77,-73.96,40.79,-73.97,9
40.79,-73.97,40.79,-73.95,7
40.74,-74,40.75,-73.99,9
40.78,-73.96,40.86,-73.93,21.5
40.75,-73.99,40.74,-73.98,5
40.76,-73.98,40.79,-73.97,14.5
40.76,-73.96,40.75,-73.99,15.5
40.74,-73.99,40.73,-74,6
40.73,-74,40.73,-73.99,6
40.73,-73.99,40.71,-73.93,16
40.77,-73.91,40.77,-73.89,6.5
40.78,-73.95,40.78,-73.95,2.5
40.78,-73.95,40.78,-73.95,-2.5
40.77,-73.97,40.77,-73.96,4.5
40.74,-73.99,40.76,-73.97,7.5
40.79,-73.97,40.78,-73.98,5
40.77,-73.96,40.78,-73.95,5.5
40.75,-73.99,40.74,-74,9
40.77,-73.98,40.76,-73.97,6.5
40.76,-73.98,40.71,-73.98,16
40.76,-73.99,40.76,-73.99,10.5
40.81,-73.96,40.79,-73.97,5.5
40.68,-73.98,40.68,-73.96,2.5
40.74,-73.99,40.76,-73.93,20.5
40.75,-73.99,0,0,9.5
40.73,-73.99,40.76,-73.99,11.5
40.72,-73.98,40.72,-73.99,2.5
40.74,-73.99,40.75,-73.98,7.5
40.73,-74,40.73,-73.99,8.5
40.74,-74.01,40.73,-74,6
40.67,-73.93,40.67,-73.96,13
40.76,-73.97,40.74,-73.96,14
40.75,-73.99,40.72,-74.01,10
40.72,-73.99,40.8,-73.93,22.5
40.67,-73.97,40.76,-74,23
40.74,-73.99,40.75,-73.99,8
40.75,-73.99,40.75,-73.9,24.5
40.73,-74,40.73,-73.99,6.5
40.75,-73.99,40.76,-73.92,17
40.77,-73.98,40.77,-73.99,5
40.75,-73.97,40.8,-73.95,18
40.72,-73.96,40.72,-74,20.5
40.72,-73.98,40.72,-73.98,5
40.72,-74,40.7,-74,9.5
40.73,-74,40.77,-73.96,13
40.78,-73.98,40.75,-73.98,14
40.75,-73.99,40.74,-73.99,4.5
40.73,-73.99,40.71,-74.01,10.5
40.62,-74.03,40.62,-73.99,11
40.74,-73.99,40.75,-73.99,8.5
40.77,-73.96,40.75,-73.99,11
40.74,-74.01,40.75,-73.93,26.5
40.75,-73.99,40.78,-73.96,12
40.79,-73.97,40.75,-73.97,12.5
40.7,-73.99,40.72,-74,11
40.74,-74,40.74,-74.01,5
40.77,-73.98,40.78,-73.98,6.5
40.72,-73.99,40.73,-74.01,9
40.73,-74.01,40.72,-74,7
40.73,-74,40.74,-74,7
40.78,-73.97,40.79,-73.97,6.5
40.75,-73.97,40.72,-73.99,10
40.74,-74,40.75,-73.99,9
40.74,-74,40.77,-73.99,12
40.75,-73.98,40.75,-73.99,15
40.77,-73.98,40.78,-73.98,6.5
40.73,-74.01,40.76,-74,12
40.76,-73.97,40.75,-73.89,16.5
40.75,-73.99,40.63,-74.03,35
40.74,-74,40.77,-73.95,15.5
40.77,-73.98,40.76,-73.99,14.5
40.75,-73.99,40.73,-73.99,12
40.77,-73.98,40.83,-73.86,30.5
40.74,-73.99,40.74,-73.98,5.5
40.77,-73.98,40.75,-73.98,9.5
40.71,-73.98,40.79,-73.95,23
40.76,-73.97,40.74,-73.99,7.5
40.77,-73.98,40.77,-73.98,4
40.76,-74,40.87,-73.93,23.5
40.76,-73.97,40.74,-73.99,12
40.72,-73.99,40.77,-73.99,25.5
40.75,-73.99,40.74,-73.99,5
40.74,-73.99,40.73,-73.99,6.5
40.77,-73.97,40.77,-73.96,4.5
40.65,-73.78,40.77,-73.87,32.5
40.77,-73.98,40.77,-73.98,4
40.83,-73.94,40.75,-74,25.5
40.73,-74,40.73,-73.99,4.5
40.74,-73.99,40.75,-73.99,4
40.7,-73.99,40.62,-74.03,21
40.74,-74,40.77,-73.96,14
40.73,-73.99,40.8,-73.97,20.5
40.77,-73.97,40.72,-74,16.5
40.78,-73.95,40.79,-73.94,7
40.74,-74.01,40.64,-74,32
40.71,-73.96,40.71,-73.99,9.5
40.75,-73.99,40.74,-74.01,8.5
40.76,-73.97,40.77,-73.99,11
40.75,-73.98,40.74,-74,6
40.68,-73.9,40.68,-73.93,9
40.72,-74,40.75,-74,11
40.72,-73.99,40.78,-73.95,18.5
40.74,-74.01,40.72,-73.96,17.5
40.76,-73.98,40.75,-73.99,9.5
40.78,-73.95,40.82,-73.95,13.5
40.76,-73.98,40.76,-73.98,3
40.73,-73.99,40.74,-73.99,6
40.74,-73.98,40.75,-73.98,6
40.72,-74,40.76,-73.92,22
40.78,-73.98,40.8,-73.96,7
40.77,-73.95,40.74,-73.98,10.5
40.74,-74,40.73,-74,4.5
40.77,-73.99,40.72,-73.99,18.5
40.76,-73.98,40.77,-73.99,15
40.75,-73.99,40.72,-73.9,23
40.74,-74.01,40.77,-73.95,23
40.74,-73.97,40.74,-73.98,3.5
40.73,-74,40.75,-73.96,12
40.73,-73.99,40.76,-73.97,12
40.73,-73.98,40.78,-73.95,12
40.76,-73.97,40.77,-73.96,7
40.77,-73.98,40.78,-73.95,12
40.65,-73.79,40.68,-73.77,18
40.75,-73.98,40.75,-73.98,3.5
40.75,-73.98,40.7,-73.97,29
40.83,-73.95,40.8,-73.96,11
40.83,-73.95,40.85,-73.93,15.5
40.74,-73.98,40.76,-73.97,14.5
40.71,-73.94,40.71,-73.93,3
40.77,-73.87,40.77,-73.83,14.5
40.74,-74.01,40.76,-73.99,18.5
40.76,-73.96,40.77,-73.96,5
40.77,-73.93,40.74,-73.97,16.5
40.7,-74.02,40.76,-73.99,17
40.78,-73.98,40.8,-73.97,10
40.72,-73.99,40.72,-73.94,14.5
40.75,-73.97,40.75,-73.99,9.5
40.75,-74,40.77,-73.99,8.5
40.75,-73.99,40.72,-74.01,13.5
40.73,-73.99,40.73,-73.99,4
40.76,-73.97,40.76,-73.93,11.5
40.74,-74.01,40.76,-73.97,13.5
40.78,-73.97,40.74,-73.99,15.5
40.83,-73.94,40.83,-73.94,10
40.72,-73.99,40.73,-73.98,7.5
40.73,-73.99,40.72,-73.98,6.5
40.74,-74.01,40.74,-73.99,7
40.76,-73.98,40.73,-74,16.5
40.76,-73.98,40.73,-74,24
40.75,-73.99,40.77,-73.99,13
40.77,-73.98,40.74,-73.87,23
40.75,-73.99,40.78,-73.96,16.5
40.76,-73.99,40.71,-74.02,18.5
40.69,-73.98,40.68,-73.91,18.5
40.75,-73.98,40.74,-73.9,18.5
40.74,-74,40.73,-73.99,6
40.67,-73.96,40.69,-73.99,9
40.78,-73.95,40.77,-73.95,6
40.71,-74,40.75,-73.98,12.5
40.76,-73.96,40.7,-73.93,24.5
40.75,-73.99,40.71,-73.97,20
40.76,-73.96,40.73,-73.99,10
40.74,-74,40.76,-73.99,9
40.76,-73.98,40.78,-73.98,10.5
40.78,-73.98,40.8,-73.97,6
40.77,-73.98,40.76,-73.97,8.5
40.76,-73.98,40.8,-73.95,16
40.76,-73.99,40.76,-73.99,12.5
40.75,-73.99,40.74,-74,4
40.74,-74.01,40.77,-73.97,17.5
40.76,-73.99,40.78,-73.95,20
40.76,-73.97,40.77,-73.92,13
40.73,-74,40.76,-73.93,29.5
40.8,-73.96,40.68,-73.85,56
40.76,-73.96,40.75,-73.91,12
40.73,-74,40.74,-73.99,9.5
40.71,-74.01,40.72,-74.01,5
40.74,-74,40.73,-73.98,7.5
40.77,-73.99,40.79,-73.97,9.5
40.74,-74,40.77,-73.96,14
40.72,-73.99,40.75,-73.99,13.5
40.72,-73.99,40.71,-73.96,9
40.8,-73.96,40.83,-73.94,13.5
40.74,-74.01,40.64,-74.03,29
40.76,-74,40.75,-73.99,19
40.74,-74.01,40.76,-73.99,10.5
40.76,-73.97,40.76,-73.97,2.5
40.7,-73.92,40.7,-73.9,5
40.8,-73.97,40.82,-73.96,5.5
40.73,-73.98,40.74,-73.98,6
40.78,-73.95,40.77,-73.97,6.5
40.76,-73.99,40.75,-74,6
40.77,-74,40.74,-74,9.5
40.76,-73.97,40.75,-73.89,15
40.76,-73.96,40.78,-73.95,6.5
40.76,-73.97,40.77,-73.92,15
40.72,-73.99,40.75,-73.88,24.5
40.74,-73.98,40.69,-73.97,17
40.79,-73.97,40.75,-73.88,30.5
40.77,-73.92,40.77,-73.98,16.5
40.73,-74,40.69,-73.99,16
40.77,-73.97,40.78,-73.96,3.5
40.74,-73.99,40.73,-74,4.5
40.75,-73.99,40.73,-74.01,12.5
40.82,-73.94,40.81,-73.94,6.5
40.74,-73.98,40.76,-73.98,8.5
40.77,-73.98,40.79,-73.97,10.5
40.73,-73.99,40.73,-73.99,3.5
40.78,-73.96,40.77,-73.98,8
40.73,-74,40.78,-73.96,19.5
40.77,-73.98,40.75,-73.98,17
40.71,-74.01,40.7,-74.02,7.5
40.75,-73.98,40.75,-73.99,9.5
40.76,-73.97,40.81,-73.96,18.5
40.76,-73.99,40.76,-73.99,3
40.73,-73.98,40.74,-73.99,8
40.73,-74,40.78,-73.96,20.5
40.74,-74,40.73,-73.99,6.5
40.73,-74,40.74,-73.99,8.5
40.75,-73.98,40.77,-73.98,10.5
40.73,-73.99,40.78,-73.96,20.5
40.76,-73.98,40.74,-73.99,18
40.73,-74,40.76,-73.98,15.5
40.75,-73.98,40.77,-73.96,10
40.75,-73.99,40.73,-73.95,25.5
40.78,-73.95,40.76,-73.98,9.5
40.74,-73.99,40.68,-73.98,15.5
40.77,-73.98,40.76,-73.98,15
40.73,-73.98,40.73,-73.99,5.5
40.64,-73.78,40.7,-73.79,23.5
40.74,-73.98,40.71,-73.94,20.5
40.76,-73.99,40.77,-73.88,47
40.76,-73.98,40.76,-73.97,6
40.78,-73.97,40.76,-73.97,10
40.77,-73.95,40.75,-73.94,14
40.77,-73.98,40.77,-73.96,10
40.71,-73.95,40.7,-73.91,13.5
40.71,-73.94,40.73,-74,16
40.64,-73.78,40.63,-73.97,50
40.76,-74,40.76,-74,3
40.73,-73.98,40.72,-73.99,5
40.76,-73.99,40.76,-73.99,6.5
40.76,-73.98,40.76,-73.96,9
40.78,-73.96,40.73,-74.01,28
40.72,-74.01,40.73,-74.01,6.5
40.79,-73.95,40.81,-73.96,10.5
40.77,-73.98,40.75,-73.98,19.5
40.74,-74.01,40.76,-73.99,8
40.74,-74.01,40.71,-74.01,12
40.77,-73.95,40.73,-74,19
40.76,-73.96,40.76,-73.96,3
40.79,-73.98,40.78,-73.98,5
40.75,-73.99,40.74,-73.97,7.5
40.79,-73.98,40.81,-73.92,15.5
40.76,-73.87,40.77,-73.87,4.5
40.76,-73.98,40.76,-73.97,5.5
40.74,-73.98,40.74,-74.01,8
40.77,-73.96,40.77,-73.98,8
40.77,-73.99,40.85,-73.93,20.5
40.74,-73.99,40.75,-73.99,6.5
40.77,-73.98,40.79,-73.94,12.5
40.78,-73.95,40.76,-73.98,9.5
40.73,-73.99,40.74,-73.99,4
40.77,-73.99,40.78,-73.98,6
40.78,-73.98,40.8,-73.97,6.5
40.74,-74.01,40.72,-74.01,10
40.76,-73.99,40.75,-74,5
40.73,-74,40.72,-73.98,9
40.77,-73.91,40.78,-73.91,10.5
40.73,-73.99,40.71,-74.01,10.5
40.76,-73.97,40.79,-73.94,11.5
40.71,-74.02,40.75,-74.01,13.5
40.76,-73.97,40.75,-73.98,6
40.76,-73.98,40.76,-73.97,7.5
40.73,-73.98,40.77,-73.95,11.5
40.77,-73.98,40.78,-73.98,5.5
40.82,-73.95,40.87,-73.93,14
40.77,-73.99,40.75,-74.01,19.5
40.72,-73.99,40.73,-73.98,5
40.74,-74,40.78,-73.99,12
40.75,-73.97,40.69,-73.85,33
40.78,-73.95,40.78,-73.96,5.5
40.71,-74,40.72,-74.01,4
40.73,-73.99,40.73,-74,8
40.76,-73.97,40.76,-73.93,12
40.76,-73.99,40.75,-73.98,11.5
40.74,-73.99,40.82,-73.95,27
40.72,-74,40.75,-73.99,13.5
40.73,-74,40.77,-73.97,19
40.76,-73.99,40.74,-73.99,19
40.73,-74,40.75,-73.94,39.5
40.73,-74,40.73,-74.01,5
40.74,-73.99,40.74,-73.99,6
40.79,-73.98,40.78,-73.95,10
40.77,-73.95,40.75,-73.99,16
40.71,-74.02,40.74,-74,21.5
40.74,-73.98,40.79,-73.97,18.5
40.76,-73.9,40.73,-73.99,24
40.73,-74,40.7,-74.01,9.5
